#    L    TT             EE             TE             PP             TP          
   262   0.520978E+04   0.351738E+01   0.826372E+02   0.200081E+07   0.151143E+04
   263   0.518601E+04   0.362746E+01   0.840896E+02   0.199253E+07   0.149887E+04
   264   0.516180E+04   0.373980E+01   0.855226E+02   0.198431E+07   0.148639E+04
   265   0.513717E+04   0.385441E+01   0.869369E+02   0.197614E+07   0.147401E+04
   266   0.511212E+04   0.397126E+01   0.883303E+02   0.196803E+07   0.146171E+04
   267   0.508666E+04   0.409034E+01   0.897021E+02   0.195998E+07   0.144950E+04
   268   0.506079E+04   0.421164E+01   0.910530E+02   0.195197E+07   0.143738E+04
   269   0.503451E+04   0.433517E+01   0.923808E+02   0.194402E+07   0.142534E+04
   270   0.500784E+04   0.446088E+01   0.936862E+02   0.193612E+07   0.141338E+04
   271   0.498078E+04   0.458879E+01   0.949670E+02   0.192827E+07   0.140151E+04
   272   0.495335E+04   0.471886E+01   0.962239E+02   0.192048E+07   0.138973E+04
   273   0.492555E+04   0.485107E+01   0.974555E+02   0.191273E+07   0.137803E+04
   274   0.489740E+04   0.498542E+01   0.986625E+02   0.190504E+07   0.136640E+04
   275   0.486889E+04   0.512186E+01   0.998427E+02   0.189739E+07   0.135486E+04
   276   0.484007E+04   0.526040E+01   0.100997E+03   0.188980E+07   0.134340E+04
   277   0.481091E+04   0.540100E+01   0.102123E+03   0.188225E+07   0.133202E+04
   278   0.478144E+04   0.554365E+01   0.103222E+03   0.187475E+07   0.132072E+04
   279   0.475167E+04   0.568830E+01   0.104292E+03   0.186730E+07   0.130950E+04
   280   0.472160E+04   0.583493E+01   0.105334E+03   0.185990E+07   0.129835E+04
   281   0.469125E+04   0.598353E+01   0.106347E+03   0.185255E+07   0.128728E+04
   282   0.466063E+04   0.613403E+01   0.107329E+03   0.184524E+07   0.127629E+04
   283   0.462975E+04   0.628644E+01   0.108282E+03   0.183798E+07   0.126537E+04
   284   0.459860E+04   0.644070E+01   0.109203E+03   0.183076E+07   0.125453E+04
   285   0.456722E+04   0.659680E+01   0.110093E+03   0.182359E+07   0.124376E+04
   286   0.453560E+04   0.675469E+01   0.110951E+03   0.181646E+07   0.123306E+04
   287   0.450377E+04   0.691432E+01   0.111778E+03   0.180938E+07   0.122244E+04
   288   0.447172E+04   0.707568E+01   0.112571E+03   0.180234E+07   0.121188E+04
   289   0.443946E+04   0.723872E+01   0.113332E+03   0.179535E+07   0.120140E+04
   290   0.440702E+04   0.740339E+01   0.114059E+03   0.178840E+07   0.119099E+04
   291   0.437441E+04   0.756969E+01   0.114752E+03   0.178149E+07   0.118064E+04
   292   0.434162E+04   0.773746E+01   0.115412E+03   0.177462E+07   0.117037E+04
   293   0.430867E+04   0.790680E+01   0.116037E+03   0.176779E+07   0.116016E+04
   294   0.427557E+04   0.807762E+01   0.116626E+03   0.176101E+07   0.115002E+04
   295   0.424232E+04   0.824977E+01   0.117180E+03   0.175426E+07   0.113994E+04
   296   0.420894E+04   0.842333E+01   0.117699E+03   0.174756E+07   0.112993E+04
   297   0.417543E+04   0.859815E+01   0.118181E+03   0.174090E+07   0.111999E+04
   298   0.414181E+04   0.877423E+01   0.118626E+03   0.173427E+07   0.111011E+04
   299   0.410809E+04   0.895150E+01   0.119035E+03   0.172768E+07   0.110029E+04
   300   0.407427E+04   0.912987E+01   0.119406E+03   0.172113E+07   0.109053E+04
   301   0.404037E+04   0.930944E+01   0.119741E+03   0.171462E+07   0.108084E+04
   302   0.400641E+04   0.948996E+01   0.120038E+03   0.170815E+07   0.107121E+04
   303   0.397239E+04   0.967152E+01   0.120298E+03   0.170171E+07   0.106164E+04
   304   0.393833E+04   0.985404E+01   0.120521E+03   0.169531E+07   0.105213E+04
   305   0.390424E+04   0.100374E+02   0.120706E+03   0.168895E+07   0.104268E+04
   306   0.387012E+04   0.102217E+02   0.120853E+03   0.168263E+07   0.103330E+04
   307   0.383600E+04   0.104068E+02   0.120963E+03   0.167634E+07   0.102398E+04
   308   0.380188E+04   0.105925E+02   0.121034E+03   0.167008E+07   0.101472E+04
   309   0.376776E+04   0.107790E+02   0.121067E+03   0.166386E+07   0.100552E+04
   310   0.373366E+04   0.109659E+02   0.121063E+03   0.165768E+07   0.996389E+03
   311   0.369959E+04   0.111534E+02   0.121019E+03   0.165153E+07   0.987318E+03
   312   0.366556E+04   0.113414E+02   0.120938E+03   0.164542E+07   0.978311E+03
   313   0.363158E+04   0.115298E+02   0.120817E+03   0.163934E+07   0.969367E+03
   314   0.359765E+04   0.117185E+02   0.120658E+03   0.163329E+07   0.960486E+03
   315   0.356379E+04   0.119074E+02   0.120461E+03   0.162728E+07   0.951669E+03
   316   0.353002E+04   0.120966E+02   0.120225E+03   0.162131E+07   0.942915E+03
   317   0.349633E+04   0.122859E+02   0.119951E+03   0.161536E+07   0.934225E+03
   318   0.346275E+04   0.124752E+02   0.119638E+03   0.160945E+07   0.925599E+03
   319   0.342927E+04   0.126646E+02   0.119287E+03   0.160358E+07   0.917037E+03
